"id","height","weight","rating","potential","preferred_foot","weak_foot","skill_moves","international_reputation","club_rating"
"231866","190","82","91","91","Right","4 ","3","World Class","85"
"209331","175","72","91","91","Left","3 ","4","World Class","84"
"252371","186","75","90","94","Right","4 ","4","World Class","85"
"239085","195","94","90","92","Left","3 ","3","World Class","85"
"238794","176","73","90","94","Right","4 ","5","World Class","85"
"231747","182","75","90","93","Right","4 ","5","World Class","85"
"203376","193","92","90","90","Right","3 ","2","World Class","84"
"202126","188","86","90","90","Right","4 ","3","World Class","84"
"256630","177","71","89","92","Right","4 ","4","World Class","83"
"212831","193","91","89","89","Right","3 ","1","World Class","84"
"192985","181","75","89","89","Right","5 ","4","World Class","85"
"192119","200","96","89","89","Left","3 ","1","World Class","85"
"188545","185","81","89","89","Right","4 ","4","World Class","84"
"256790","184","72","88","92","Right","4 ","5","International","84"
"246669","178","65","88","90","Left","4 ","3","International","83"
"239053","182","74","88","91","Right","4 ","3","International","85"
"233419","176","68","88","88","Left","4 ","4","International","84"
"231478","174","72","88","88","Right","4 ","4","International","84"
"212622","177","75","88","88","Right","4 ","3","International","84"
"205452","190","85","88","88","Right","3 ","2","International","85"
"200389","188","87","88","88","Right","3 ","1","International","82"
"192448","187","85","88","88","Right","4 ","1","International","84"
"257534","185","76","87","90","Left","3 ","4","International","80"
"251854","174","60","87","90","Right","4 ","4","International","84"
"243715","193","85","87","89","Right","3 ","2","International","83"
"237383","190","75","87","89","Left","2 ","2","International","84"
"234378","185","80","87","88","Right","3 ","3","International","83"
"232580","190","87","87","88","Left","2 ","2","International","83"
"232293","186","77","87","89","Right","4 ","3","International","79"
"231443","178","67","87","87","Left","5 ","5","International","83"
"230621","196","90","87","89","Right","3 ","1","International","83"
"224232","175","68","87","87","Right","4 ","3","International","84"
"222665","178","68","87","89","Left","2 ","5","International","83"
"215698","191","89","87","89","Right","4 ","1","International","81"
"213331","195","94","87","87","Right","3 ","2","International","83"
"207865","183","75","87","87","Right","3 ","3","International","83"
"194765","176","67","87","87","Left","3 ","4","International","82"
"177683","183","77","87","87","Right","4 ","1","International","84"
"158023","169","67","87","87","Left","4 ","4","International","73"
"277643","180","72","86","95","Left","3 ","4","Continental","84"
"246191","170","71","86","89","Right","4 ","4","Continental","82"
"243812","174","64","86","91","Right","4 ","4","International","85"
"241651","189","94","86","89","Right","4 ","3","International","79"
"241486","180","75","86","89","Right","3 ","3","International","84"
"239837","176","72","86","88","Right","3 ","3","International","84"
"239818","187","82","86","87","Right","4 ","2","International","85"
"239580","187","84","86","88","Right","2 ","2","International","80"
"237692","171","70","86","88","Left","3 ","4","International","85"
"235212","181","73","86","88","Right","4 ","4","International","83"
"235073","195","88","86","89","Right","3 ","1","International","81"
"233731","192","77","86","88","Right","4 ","4","International","81"
"232656","184","81","86","87","Left","3 ","4","International","81"
"231281","180","69","86","87","Right","4 ","3","International","84"
"228702","181","74","86","86","Right","3 ","4","International","84"
"220901","183","75","86","87","Right","3 ","1","Continental","83"
"215441","187","82","86","86","Right","4 ","3","Continental","81"
"212198","179","69","86","86","Right","4 ","4","International","80"
"211110","177","75","86","86","Left","3 ","5","International","79"
"210257","188","86","86","86","Left","3 ","1","International","85"
"208128","178","69","86","86","Right","5 ","4","International","84"
"204963","173","73","86","86","Right","3 ","3","International","85"
"202811","195","88","86","86","Right","4 ","1","International","81"
"200104","183","78","86","86","Right","5 ","4","International","81"
"199503","186","80","86","86","Left","3 ","3","International","83"
"165153","185","81","86","86","Right","4 ","4","International","74"
"262621","199","88","85","88","Left","3 ","1","Continental","77"
"256516","181","67","85","89","Right","5 ","4","Continental","80"
"256079","178","73","85","88","Right","3 ","3","Continental","80"
"255253","172","64","85","89","Right","3 ","4","Continental","83"
"253163","188","79","85","90","Right","3 ","2","International","84"
"247851","182","74","85","86","Right","2 ","3","Continental","81"
"247827","184","73","85","88","Left","2 ","4","Continental","84"
"247819","191","86","85","88","Left","2 ","2","Continental","81"
"247635","183","70","85","89","Right","5 ","5","Continental","83"
"244260","179","72","85","86","Right","4 ","4","Continental","84"
"241721","188","81","85","88","Right","4 ","5","Continental","81"
"241096","181","79","85","87","Right","4 ","3","Continental","81"
"241084","180","73","85","85","Right","4 ","4","Continental","84"
"240130","186","79","85","88","Right","3 ","2","International","85"
"237678","194","95","85","87","Right","3 ","3","Continental","84"
"230869","190","89","85","86","Right","3 ","1","Continental","80"
